Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Include fabric-sdk-node as git submodule,FAB-6051,20644,20613,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,latitiah,latitiah,latitiah,06/Sep/17 11:44 PM,20/Jul/18 11:14 PM,28/Oct/23 3:00 AM,13/Sep/17 11:29 PM,,,,,,,,,,,,,,0,,,,,,,"While updating package.json with the correct versions can be used for use in the PTE, the work is not complete and needs a specific library that is included in the repo per [~dongming] and needs to be included.

This will allow others to use the tool, while this specific dependency is being fixed.",,latitiah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyfhj:",,,,,,,,,,,,,,,,,,,,,,latitiah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dependabot/go_modules/regression/publish/golang.org/x/sys-0.1.0,dependabot/go_modules/tools/operator/k8s.io/client-go-0.20.0,dependabot/go_modules/chaincodes/marbles02_private/go/golang.org/x/crypto-0.1.0,dependabot/go_modules/regression/smoke/golang.org/x/net-0.7.0,dependabot/go_modules/tools/chaincode-integration/resources/chaincode/simple-go/golang.org/x/net-0.7.0,dependabot/go_modules/regression/barebones/golang.org/x/net-0.7.0,dependabot/go_modules/tools/gotools/golang.org/x/sys-0.1.0,dependabot/go_modules/regression/smoke/github.com/docker/docker-20.10.24incompatible,dependabot/go_modules/tools/operator/golang.org/x/crypto-0.1.0,dependabot/go_modules/regression/smoke/github.com/opencontainers/runc-1.1.5,dependabot/go_modules/regression/publish/golang.org/x/text-0.3.8,dependabot/go_modules/regression/publish/github.com/opencontainers/runc-1.1.5,dependabot/go_modules/regression/smoke/golang.org/x/text-0.3.8,release-2.5,release-2.4,lindluni-patch-1,dependabot/go_modules/regression/publish/k8s.io/client-go-0.20.0,dependabot/go_modules/regression/barebones/github.com/opencontainers/runc-1.1.5,dependabot/go_modules/regression/basicnetwork/k8s.io/client-go-0.20.0,dependabot/go_modules/tools/chaincode-integration/resources/chaincode/simple-go/golang.org/x/text-0.3.8,dependabot/go_modules/regression/publish/golang.org/x/net-0.7.0,dependabot/go_modules/regression/basicnetwork/golang.org/x/crypto-0.1.0,dependabot/go_modules/regression/publish/golang.org/x/crypto-0.1.0,dependabot/go_modules/tools/operator/golang.org/x/sys-0.1.0,dependabot/go_modules/regression/basicnetwork/golang.org/x/net-0.7.0,dependabot/go_modules/regression/barebones/github.com/docker/docker-20.10.24incompatible,dependabot/go_modules/regression/smoke/golang.org/x/sys-0.1.0,dependabot/go_modules/regression/basicnetwork/github.com/opencontainers/runc-1.1.5,dependabot/go_modules/regression/barebones/golang.org/x/text-0.3.8,revert-342-mergify/bp/main/pr-340,dependabot/go_modules/regression/smoke/k8s.io/client-go-0.20.0,dependabot/go_modules/regression/basicnetwork/golang.org/x/sys-0.1.0,dependabot/go_modules/regression/publish/github.com/docker/docker-20.10.24incompatible,dependabot/go_modules/regression/basicnetwork/github.com/docker/docker-20.10.24incompatible,dependabot/go_modules/tools/operator/golang.org/x/text-0.3.8,dependabot/go_modules/tools/operator/golang.org/x/net-0.7.0,dependabot/go_modules/regression/basicnetwork/golang.org/x/text-0.3.8,dependabot/go_modules/regression/smoke/golang.org/x/crypto-0.1.0,dependabot/go_modules/regression/barebones/golang.org/x/crypto-0.1.0,dependabot/go_modules/regression/barebones/golang.org/x/sys-0.1.0,dependabot/go_modules/tools/operator/github.com/opencontainers/runc-1.1.5,dependabot/go_modules/chaincodes/marbles02_private/go/golang.org/x/net-0.7.0,dependabot/go_modules/regression/barebones/k8s.io/client-go-0.20.0,dependabot/go_modules/tools/operator/github.com/docker/docker-20.10.24incompatible,,,,,,,,true,"06/Sep/17 11:49 PM;latitiah;https://gerrit.hyperledger.org/r/#/c/13193/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specify filter during the retrieval from the transient store,FAB-6053,20646,20526,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,manish-sethi,manish-sethi,manish-sethi,07/Sep/17 1:35 AM,20/Jul/18 11:14 PM,28/Oct/23 3:00 AM,07/Sep/17 6:46 PM,,,,,,,,,,,,,,0,,,,,,,Enhance the API `{color:#000000}GetTxPvtRWSetByTxid{color}` in the transient store so that it takes a filter as an additional parameter in order to trim each of the results such that each item in the result contains only namespace/collection specified in the filter.,,manish-sethi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyfhz:",,,,,,,,,,,,,,,,,,,,,,manish-sethi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add end-to-end ledger test with pvtdata,FAB-6054,20647,,Task,Closed,FAB,Fabric,software,denyeart,,,Medium,Won't Do,,manish-sethi,manish-sethi,07/Sep/17 2:05 AM,30/Jul/19 10:16 AM,28/Oct/23 3:00 AM,30/Jul/19 10:16 AM,,,,,,,,,,,,,,0,,,,,,,,,manish-sethi,mastersingh24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyfi7:",,,,,,,,,,,,,,,,,,,,,,manish-sethi,mastersingh24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30/Jul/19 10:16 AM;mastersingh24;included in end to end integration tests plus in some system tests as well;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
createEnvelopeForMsg() has two return statements,FAB-6055,20648,,Bug,Closed,FAB,Fabric,software,denyeart,,,Lowest,Invalid: Works as Expected,cclauss,cclauss,cclauss,07/Sep/17 5:59 AM,01/Aug/19 11:32 AM,28/Oct/23 3:00 AM,01/Aug/19 11:32 AM,v1.0.5,,,,,,Future,,,fabric-quality,,,,0,quality,,,,,,"This issue is a simple one and I would like to make it my first PR to the project if someone would be willing to mentor me thru the process...

[https://github.com/hyperledger/fabric/blob/release/bddtests/steps/bootstrap_util.py#L737-L739]

return envelope
return configEnvelope

Which one do we actually want to return?  The other should be removed as it is superfluous and confusing.",,cclauss,denyeart,sanchezl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144000,144000,,0%,144000,144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyfif:",,,,,,,,,,,,,,,,,,,,,,cclauss,denyeart,sanchezl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25/Oct/17 5:36 AM;denyeart;[~latitiah] Can you provide some guidance for Christian?;;;","26/Jan/18 3:17 AM;sanchezl;Remove:

 {{return configEnvelope}};;;","06/Jul/18 3:12 PM;cclauss;I believe this issue can be closed.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Typo in variable name: namepart instead of namePart,FAB-6056,20649,,Bug,Closed,FAB,Fabric,software,denyeart,,,Low,Done,cbl,cclauss,cclauss,07/Sep/17 6:09 AM,20/Jul/18 11:14 PM,28/Oct/23 3:00 AM,21/Sep/17 3:04 PM,v1.0.2,,,,,,v1.1.0,,,fabric-release,,,,0,,,,,,,namepart on https://github.com/hyperledger/fabric/blob/release/bddtests/environment.py#L66 should be namePart (capital P).,,cbl,cclauss,mastersingh24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144000,144000,,0%,144000,144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyfin:",,,,,,,,,,,,,,,,,,,,,,cbl,cclauss,mastersingh24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"15/Sep/17 5:01 PM;cbl;https://gerrit.hyperledger.org/r/#/c/13417/;;;","01/Oct/17 7:06 PM;mastersingh24;not going to backport;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Typo in variable name: block instead of blocks[0],FAB-6057,20650,,Bug,Closed,FAB,Fabric,software,denyeart,,,Low,Done,sanchezl,cclauss,cclauss,07/Sep/17 6:43 AM,20/Jul/18 11:14 PM,28/Oct/23 3:00 AM,30/Jan/18 9:55 PM,v1.0.5,,,,,,v1.0.6,v1.1.0,,fabric-quality,,,,0,,,,,,,In https://github.com/hyperledger/fabric/blob/release/bddtests/steps/bootstrap_util.py#L1235 the `block.data.data` at the end of the line should be `blocks[0].data.data` instead.  `block` (singular) is an undefined name in this context but `blocks[0]` (plural) is used earlier on this same line.,,cclauss,denyeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144000,144000,,0%,144000,144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyfiv:",,,,,,,,,,,,,,,,,,,,,,cclauss,denyeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,release-1.0,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"18/Oct/17 5:48 AM;denyeart;[~jeffgarratt] Feel free to re-assign if somebody else is looking after this now.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Typo in variable name: ordererContext instead of context,FAB-6058,20651,,Bug,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,sanchezl,cclauss,cclauss,07/Sep/17 6:56 AM,20/Jul/18 11:14 PM,28/Oct/23 3:00 AM,30/Jan/18 9:57 PM,v1.0.5,v1.1.0,,,,,v1.0.6,v1.1.0,,fabric-quality,,,,0,,,,,,,https://github.com/hyperledger/fabric/blob/release/bddtests/steps/orderer_util.py#L255 is the only instance of the text ordererContext in the entire repo and is an undefined name in this context.  Should this be context?,,cclauss,denyeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144000,144000,,0%,144000,144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyfj3:",,,,,,,,,,,,,,,,,,,,,,cclauss,denyeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,release-1.0,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"18/Oct/17 5:49 AM;denyeart;[~jeffgarratt] Feel free to reassign if somebody else is looking after this now.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Undefined name ""containers"" can raise NameError at runtime",FAB-6059,20652,,Bug,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,lhaskins,cclauss,cclauss,07/Sep/17 7:05 AM,20/Jul/18 11:14 PM,28/Oct/23 3:00 AM,16/Feb/18 12:33 AM,,,,,,,Future,,,fabric-quality,,,,0,,,,,,,"In the context of https://github.com/hyperledger/fabric/blob/release/test/feature/environment.py#L53 containers is an undefined name and can raise a NameError at runtime in the statement getLogFiles(containers, fileSuffix)",,cclauss,latitiah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyfjb:",,,,,,,,,,,,,,,,,,,,,,cclauss,latitiah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16/Feb/18 12:33 AM;latitiah;This code has been moved and fixed in a separate repository. See fix at [https://github.com/hyperledger/fabric-test/blob/master/feature/environment.py#L42]

This said, I would like to remove this code, since it is no longer being supported in the fabric repo, but in fabric-test instead.

 ;;;","16/Feb/18 1:03 AM;latitiah;https://jira.hyperledger.org/browse/FAB-7721 has already been open to clean up the code in this repo.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add a troubleshooting in the BYFN,FAB-6060,20653,,Story,Closed,FAB,Fabric,software,denyeart,,,Low,Done,wl6g11li,wl6g11li,wl6g11li,07/Sep/17 11:55 AM,21/Jul/18 3:51 AM,28/Oct/23 3:00 AM,22/Apr/18 8:48 PM,,,,,,,v1.2.0,,,fabric-docs,,,,0,,,,,,,"When the *byfn.sh* is been executed, a problem which is similar to the following may occurs.
{code:none}
/bin/bash: ./scripts/script.sh: /bin/bash^M: bad interpreter: No such file or directory
{code}
This is usually caused by the *wrong formate of the shell file*.

A troubleshooting may be needed to add in the BYFN tutorial in order to describe the problem and provide a probably solution.",,ChristopherFerris,pandrejko,wl6g11li,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzyfjj:",,,,Unset,,,,,,,Unset,,,,,,,,,,,ChristopherFerris,pandrejko,wl6g11li,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"30/Mar/18 12:21 AM;ChristopherFerris;https://gerrit.hyperledger.org/r/c/13225/;;;","04/Apr/18 3:41 AM;pandrejko;[http://hyperledger-fabric.readthedocs.io/en/release-1.1/build_network.html#troubleshooting]

 

Can this be closed or is it a catch all for additional issues as they surface?;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Make peers ignore peers that left the channel,FAB-6063,20658,20487,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,yacovm,yacovm,yacovm,07/Sep/17 7:26 PM,20/Jul/18 11:14 PM,28/Oct/23 3:00 AM,13/Sep/17 12:36 PM,,,,,,,v1.1.0,,,fabric-gossip,,,,0,,,,,,,"In gossip, we only increment the logical timestamp of stateInfo messages (channel metadata broadcast) when a change occurs (i.e ledger height increased).

Because of this - we cannot expire (on a timely basis) a StateInfo message of another peer as long as it's in the membership view, else if the channel doesn't have any activity - all peers would expire all other peer's channel metadata and no peer would recognize other peers as being in the channel.

To implement a leave channel capability, we need to add a flag that makes the peer actively ignore the given StateInfo message. 


[~C0rWin]",,denyeart,yacovm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyfk7:",,,,,,,,,,,,,,,,,,,,,,denyeart,yacovm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"19/Jun/18 7:40 AM;denyeart;https://gerrit.hyperledger.org/r/#/c/13241/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
