Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Flagged),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Technical debt: Test logs in xunit format,IS-1,18145,,Improvement,Complete,IS,Indy SDK,software,resplin,,,Medium,Won't Do,,avkrishnan,avkrishnan,16/Jun/17 11:06 PM,08/Oct/19 11:38 PM,28/Oct/23 2:49 AM,08/Oct/19 11:38 PM,,,,,,,,0,5Months,,,,"Tool that we use for parsing tests output and convert to xunit.xml can't handle some cases that we have now and it was temporarily disabled on CI. Also with this test tool, we have no any stdout output.
 * Add support of our cases to cargo-xunit
 * Add support of loging to stdout to cargo-xunit
 * Enable fixed cargo-xunit on CI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IS-5,,,,,,,,,,"1|hzy3ov:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avkrishnan,esplinr,,,,,,,,,,"08/Oct/19 11:38 PM;esplinr;We haven't needed this over the last two years, so we don't plan on doing it.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logging: Libindy should provide API for logger configuration that can be integrated with application logging approach.,IS-2,18146,,New Feature,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,Artemkaaas,avkrishnan,avkrishnan,16/Jun/17 11:06 PM,31/Aug/18 1:08 AM,28/Oct/23 2:49 AM,31/Aug/18 1:08 AM,,,1.7.0,,,,,0,6Months,,,,"For the current moment libindy is linked with simple logger that outputs logs to stdout/stderr, but best practice for libraries is to use logger that will be provided by application to re-use application logging facilities. 

We suggest the following:

- Libindy should provide indy_set_logger call that will allow application to register logging callbacks
- Libindy should provide indy_get_logger call that will allow plugins (payments, storages) to re-use logger from libindy
- For development purposes libindy should also provide set_default_logger call that will allow to register simple logger bundled with libindy. We can keep the same logger behaviour as we have for now. I only suggest to disable logging by default.

Acceptance criteria:

- Design is performed and documented
- API is implemented with TDD aprroach
- Good integration tests coverage is provided
- Documentation is provided
- Migration guide is updated
- Dependent teams (vcx, libsovtoken) are notified about expected changes

 

I also suggest to review thread in [https://github.com/hyperledger/indy-sdk/issues/19] for some ideas.",,,,,,,,,,,,,,,,,,,,,,,,,,,IS-644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IS-896,,,,,,,,,,"1|hzwv27:",,,,,,LibINDY Sprint 6,18.05,EV 18.17,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,Artemkaaas,avkrishnan,gudkov,tharmon,,,,,,,,"31/Mar/18 6:26 AM;tharmon;See discussion in: https://evernym.atlassian.net/browse/EN-483;;;","22/Aug/18 9:06 PM;Artemkaaas;Implemented in PR: https://github.com/hyperledger/indy-sdk/pull/1069;;;","31/Aug/18 1:08 AM;gudkov;API implemented and tested;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical debt: Errors refactoring,IS-3,18147,,Improvement,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,gudkov,avkrishnan,avkrishnan,16/Jun/17 11:06 PM,03/Jul/17 10:14 PM,28/Oct/23 2:49 AM,03/Jul/17 10:14 PM,,,,,,,,0,,,,,"* Amount of error codes must be reduced. Similar error codes will be grouped if the recovery procedure is the same.
 * Better messages for each error case with the propagation of history.
 * Avoid implicit error propagation based on low-level messages. Better analisys of each case to determine precondition or invariant case.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IS-5,,,,,,,,,,"1|hzy3tb:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avkrishnan,gudkov,,,,,,,,,,"03/Jul/17 10:14 PM;gudkov;This refactoring was finished;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anoncreds API: Interoperability with libsovrin,IS-4,18148,,New Feature,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,MRJCrunch,avkrishnan,avkrishnan,16/Jun/17 11:06 PM,03/Jul/17 11:43 PM,28/Oct/23 2:49 AM,03/Jul/17 11:43 PM,,,,,,,,0,,,,,"* Understand and document differences between pysovrin and libsovrin that cause interoperability breaking* Create plan how to resolve them* Implement required changes in libsovrin
 * Implement required changes in pysovrinSee [https://evernym.atlassian.net/browse/SOV-1114]

Changes: 
* *Schema - done*
* *Claim Definition - done*
* Claim Request
* Claim
* Proof Request
* Proof
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IS-175,,,,,,,,,,"1|hzy3gf:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avkrishnan,MRJCrunch,,,,,,,,,,"03/Jul/17 11:43 PM;MRJCrunch;This ticket was divided into several tasks.
Epic Link: https://jira.hyperledger.org/browse/IS-175;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical debt,IS-5,18149,,Epic,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,,avkrishnan,avkrishnan,16/Jun/17 11:06 PM,08/Oct/19 11:52 PM,28/Oct/23 2:49 AM,08/Oct/19 11:52 PM,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Technical debt,Done,,,,,,,,"1|hzy40n:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avkrishnan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MacOS Support: CD and Packages,IS-6,18150,,New Feature,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,Artemkaaas,avkrishnan,avkrishnan,16/Jun/17 11:06 PM,24/May/19 10:48 PM,28/Oct/23 2:49 AM,24/May/19 10:48 PM,,,1.9.0,,,,,0,6Months,devops,,,* Automate artifacts creation and publishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IS-60,,,,,,,,,,"1|i00n94:",,,,,,Ev-SDK 19.10,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,Artemkaaas,avkrishnan,sergey.minaev,,,,,,,,,"24/May/19 2:11 PM;Artemkaaas;Build version: master-1114;;;","24/May/19 10:48 PM;sergey.minaev;New artifacts are available at https://repo.sovrin.org/macos/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
MacOS Support: Build libsovrin for MacOS,IS-7,18151,,New Feature,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,cybermag,avkrishnan,avkrishnan,16/Jun/17 11:06 PM,21/Jul/17 11:31 PM,28/Oct/23 2:49 AM,21/Jul/17 9:55 PM,,,,,,,,0,,,,,"* Try to build
 * Solve all issues in 3d party dependencies
 * Solve all issues in libsovrin
 * Provide instruction",,,,,,,,,,,,,,,,,,,,,IS-43,,,,,,,,,,,,,,,,,"19/Jul/17 5:43 PM;farooq_m_khan;Indy-Sdk-Mac-BuildFailure.log;https://jira.hyperledger.org/secure/attachment/11703/Indy-Sdk-Mac-BuildFailure.log","19/Jul/17 8:02 PM;farooq_m_khan;Indy-Sdk-Mac-BuildFailure_WithVerbose.log;https://jira.hyperledger.org/secure/attachment/11712/Indy-Sdk-Mac-BuildFailure_WithVerbose.log",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IS-60,,,,,,,,,,"1|hzy8qv:",,,,,,LibINDY Sprint 3,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,avkrishnan,cybermag,farooq_m_khan,gudkov,,,,,,,,"28/Jun/17 1:01 AM;gudkov;The documentation about building on MacOS was already created, but it seems a bit outdated. We need to re-check it.;;;","19/Jul/17 6:33 PM;farooq_m_khan;[^Indy-Sdk-Mac-BuildFailure.log]Attached log file which has the Failure Log of my build attempt on Mac.

I am running MacOS Sierra 10.12.15

libsodium: stable 1.0.13
zeromq: stable 4.2.2
cmake: stable 3.8.2
openssl: stable 1.0.2l (bottled)


 
 ;;;","19/Jul/17 8:02 PM;farooq_m_khan;[^Indy-Sdk-Mac-BuildFailure_WithVerbose.log] Log with verbose enabled ;;;","20/Jul/17 9:39 PM;farooq_m_khan;Looks like the compilation issue on Mac is due to libzmq-pw, the symptoms are similar to those reported in the following issue

https://github.com/zeromq/czmq/issues/396
 ;;;","21/Jul/17 5:19 PM;cybermag;The issue is fixed. The reason of the issue was conflict between libc++ and libstdc++ libraries. The solution is to use libc++ library for rust-zmq-pw crate. I have changed the build.rs file to use libstdc++ for linux build and to use libc++ for mac. After that I libsovrin builds without any problem on macos and linux.
The changes commited into evernym/rust-zmq-pw, branch fix_macos_build.;;;","21/Jul/17 5:56 PM;cybermag;current status: 
 - checked build for MacOS - all OK
 - checked build for Linux - all OK

I have not run the tests, but I believe that it must be done.;;;","21/Jul/17 11:31 PM;farooq_m_khan;Thanks It does work now.;;;",,,,,,,,,,,,,,,,,,,,,,,
Python Wrapper: Packages,IS-8,18152,,Task,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,Artemkaaas,avkrishnan,avkrishnan,16/Jun/17 11:06 PM,01/Aug/17 12:25 AM,28/Oct/23 2:49 AM,01/Aug/17 12:25 AM,,,,,,,,0,,,,,"Provide:
 * Automated build
 * Scripts for packages creation and publishing",,,,,,,,,,,,,,,,,,IS-190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IS-66,,,,,,,,,,"1|hzx21b:",,,,,,LibINDY Sprint 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avkrishnan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Python Wrapper: Signus API integration tests (High cases),IS-9,18153,,Task,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,Artemkaaas,avkrishnan,avkrishnan,16/Jun/17 11:06 PM,27/Jul/17 5:13 PM,28/Oct/23 2:49 AM,27/Jul/17 5:13 PM,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IS-66,,,,,,,,,,"1|hzx213:",,,,,,LibINDY Sprint 4,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,avkrishnan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Python Wrapper: Wallet API integration tests (High cases),IS-10,18154,,Task,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,Artemkaaas,avkrishnan,avkrishnan,16/Jun/17 11:06 PM,27/Jul/17 5:13 PM,28/Oct/23 2:49 AM,27/Jul/17 5:13 PM,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IS-66,,,,,,,,,,"1|hzx20n:",,,,,,LibINDY Sprint 4,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,avkrishnan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
