Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Issue split),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
I want to use the fabric-ca client and server library independently,FABC-1,20859,,Story,To Do,FABC,Fabric CA,software,denyeart,,,Medium,,,smithbk,smithbk,16/Sep/17 5:29 AM,22/Sep/19 5:55 PM,28/Oct/23 2:21 AM,,,,,,,,,,,,,,0,,,,,,"The client and server code is currently in the same package (fabric-ca/lib).
We need to split into lib/server, lib/client, and lib/common so that in particular it does not
bloat the go-SDK which only wants to pull in the lib/client.",,aambati,smithbk,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FABC-141,,,,,FABG-503,FABC-840,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzx6r3:",,,,Unset,,,,,,,,,,,,,,,Unset,,,,,,,,,,,aambati,smithbk,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16/Sep/17 5:31 AM;troyronda;Yes - We would like to remove the need for patches like this:

[https://gerrit.hyperledger.org/r/#/c/13517/3/scripts/vendorhl/fabric-ca/patches/0001-Decouple-server-structs-needed-for-client-compilatio.patch]

 ;;;","23/Feb/18 7:43 AM;aambati;When we restructure the code we need to remove the need for `caclient` build tag, which was added so fabric-ca-client is built without pulling in sqlite3 code;;;",,,,,,,,,,,,,,,,,,
"As an administrator, I want to update user info such as password, affiliation, and attributes",FABC-2,19013,,Story,Closed,FABC,Fabric CA,software,denyeart,,,Medium,Duplicate,,smithbk,smithbk,07/Jul/17 8:27 PM,21/Jul/18 4:17 AM,28/Oct/23 2:21 AM,,,,,,,,,,,,,,0,,,,,,"As an administrator, I want to update user profile information such as password,
affiliation, attributes, etc.",,skarim,smithbk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzy72v:",,,,Unset,,,,,,,,,,,,,,,Unset,,,,,,,,,,,skarim,smithbk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28/Mar/18 11:45 PM;skarim;Duplicate of https://jira.hyperledger.org/browse/FAB-5726;;;",,,,,,,,,,,,,,,,,,,
Dynamically add fabric-ca server,FABC-3,13980,,Story,Closed,FABC,Fabric CA,software,denyeart,,,Medium,Won't Do,,markparz,markparz,10/Jan/17 5:04 AM,27/Jul/19 11:59 PM,28/Oct/23 2:21 AM,26/Mar/19 8:41 PM,,,,,,,,,,,,,0,,,,,,As a network administrator I want the ability to dynamically add a new COP server so that the network can handle extra load as it gets larger or if choose to have different configurations/options for the COP services to meet certain network / channel requirements.,,markparz,mastersingh24,smithbk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzx6n3:",,,,Unset,,,,,,,,,,,,,,,Unset,,,,,,,,,,,markparz,mastersingh24,smithbk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10/Jan/17 5:12 AM;smithbk;We need to test this out of course, but it should be possible today given two assumptions:
1) You must manually copy the key materials to the new COP server and start it;
2) The load balancer (e.g. haproxy) must support dynamically adding a new server to a cluster.
Assigning to Saad to investigate, test, and doc with haproxy.;;;","10/Jan/17 7:21 AM;smithbk;I should add that if we were to implement https://jira.hyperledger.org/browse/FAB-1465, you would not need to manually distribute keys as mentioned in #1 above.  This would enable having a cluster of COP intermediate servers.  When you needed to add new COP servers to the cluster, you would issue the ""cop server init -remote <root-COP-server>"" command with an enrollment ID and secret, and the new cluster members would dynamically get an intermediate signer certificate.

That said, we are currently beginning to focus on documentation and more testing for what we have already implemented, so work on FAB-1465 is not currently progressing.;;;","26/Mar/19 8:41 PM;mastersingh24;This is outside the scope of Fabric CA.  It's possible to deploy this way today.  But we are not going to provide anything special for this.;;;",,,,,,,,,,,,,,,,,
"As a peer administrator, I need a CLI to disable membership services in the peer or orderer",FABC-4,12760,,Story,Closed,FABC,Fabric CA,software,denyeart,,,Lowest,Won't Do,,Clayton Sims,Clayton Sims,27/Sep/16 6:52 AM,27/Jul/19 11:42 PM,28/Oct/23 2:21 AM,27/Jul/19 11:40 PM,,,,,,,,,,,,,0,,,,,,"peer/orderer cop disable

Disable membership services in this peer or orderer.",,Clayton Sims,mastersingh24,smithbk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,FABC-589,,,,,,,,,"1|hzx9e7:",,,,Unset,,,,,,,,,,,,,,,Unset,,,,,,,,,,,Clayton Sims,mastersingh24,smithbk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21/Oct/16 9:33 PM;smithbk;cop will not run inside a peer or orderer, so this work is not needed;;;","15/Apr/17 2:27 AM;mastersingh24;no longer relevant;;;",,,,,,,,,,,,,,,,,,
As a user I want to be able to set maps/list configurations through environment variable,FABC-5,28993,,Story,To Do,FABC,Fabric CA,software,denyeart,,,Medium,,,skarim,skarim,30/Mar/18 12:04 AM,27/Jul/19 11:59 PM,28/Oct/23 2:21 AM,,,,,,,,,,,,,,0,,,,,,As a user I want to be able to set maps/list configurations through environment variable,,skarim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzx3pj:",,,,Unset,,,,,,,,,,,,,,,Unset,,,,,,,,,,,skarim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update the Fabric CA documentation,FABC-6,15305,,Story,Closed,FABC,Fabric CA,software,denyeart,,,Medium,Won't Do,nickgaski,bmos299,bmos299,11/Mar/17 4:19 AM,27/Jul/19 11:42 PM,28/Oct/23 2:21 AM,27/Jul/19 11:40 PM,,,,,,,,,,,,,0,,,,,,The README looks like it needs a lot of work.  It is referring to .json files which no longer exist. ,,bmos299,smithbk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzx3mn:",,,,Unset,,,,,,,,,,,,,,,Unset,,,,,,,,,,,bmos299,smithbk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22/Jul/17 12:45 AM;smithbk;We have updated the README many times since Mar, so I'm closing this.  If it is still a problem, please reopen.;;;",,,,,,,,,,,,,,,,,,,
Fabric 1.0 should be able to specify minimum requirements in terms of resources for clients to use Membership Services,FABC-7,12532,,Story,Closed,FABC,Fabric CA,software,denyeart,,,Medium,Done,,dulcep,dulcep,23/Aug/16 4:32 AM,21/Jul/18 4:16 AM,28/Oct/23 2:21 AM,15/Apr/17 3:01 AM,,,,,,,v1.0.0,v1.0.0-alpha1,,,,,0,MembershipServices,,,,,"Use-case (for intuition): 
To support thin-clients, devices with more limited capability, and IoT devices.",,dulcep,mastersingh24,matingwei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzxbi7:",,,,Unset,,,,,,,,,,,,,,,Unset,,,,,,,,,,,dulcep,mastersingh24,matingwei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15/Apr/17 3:00 AM;mastersingh24;I am going to mark this as done given we moved to fabric-ca and support REST APIs with simplified username/password and token mechanisms;;;",,,,,,,,,,,,,,,,,,,
I want fabric-ca to provide audit tools,FABC-8,13562,,Story,Closed,FABC,Fabric CA,software,denyeart,,,Medium,Won't Do,,smithbk,smithbk,30/Nov/16 5:57 AM,28/Jul/19 12:00 AM,28/Oct/23 2:21 AM,04/Jul/19 8:34 PM,,,,,,,,,,,,,1,MembershipServices,,,,,"The fabric-ca-server will support tcerts which means transactions are anonymous and unlinkable, unless revealed to an auditor.  This story is to provide tools which can be used to reveal such information to an auditor.

The following is my 1st pass at the info that COP could reveal, in priority order.  I am looking for feedback on this list and the priority.  Please comment.

# Let auditor see everything related to a single transaction
# Let auditor see all transactions for a specific enrollment ID
# Let auditor see all transactions for a specific instance of COP.  Assuming a 1-1 relationship between COP servers and participants/organizations, this is equivalent to auditing an entire company or organization.
# Let auditor see all transactions for all users in a specific affiliation group.  Each COP can have a hierarchy of affiliation groups.  An auditor can see all transactions for all users in any group of this hierarchy.
# Let auditor see a specific attribute in a specific transaction.  Attributes can be encrypted with separate keys, so this means the auditor may be allowed to see one attribute of a transaction but not another.",,KhutPidor,mastersingh24,nitingaur,smithbk,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,FAB-105,,,,,,,,,"1|hzx3rz:",,,,Unset,,Sprint 8 - Membership Services,Sprint 9 - Membership Services,Sprint 10 - Membership Service,,,,,,,,,,,Unset,,,,,,,,,,,KhutPidor,mastersingh24,nitingaur,smithbk,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05/May/17 1:33 PM;KhutPidor;Excuse me
Whether it solve or not, related to Auditor API (v0.6 or later);;;","04/Jul/19 8:34 PM;mastersingh24;tcerts are not supported and all code will be removed in 2.0.0;;;",,,,,,,,,,,,,,,,,,
"A developer should be able to just ""make cop"" from Vagrant",FABC-9,14008,,Story,Closed,FABC,Fabric CA,software,denyeart,,,Medium,Done,smithbk,JonathanLevi,JonathanLevi,11/Jan/17 10:55 PM,21/Jul/18 4:16 AM,28/Oct/23 2:21 AM,14/Feb/17 9:54 PM,,,,,,,v1.0.0,,,,,,0,,,,,,"Issue has been continuously reported... we cannot *make cop* from within Vagrant
For some reason, I can't copy and paste from Slack anymore.



",,JonathanLevi,lehors,smithbk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11/Jan/17 10:54 PM;JonathanLevi;Aranud_Building COP using Vagrant.png;https://jira.hyperledger.org/secure/attachment/10374/Aranud_Building+COP+using+Vagrant.png",,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzxguv:",,,,Unset,,Sprint 9 - Membership Services,,,,,,,,,,,,,Unset,,,,,,,,,,,JonathanLevi,lehors,smithbk,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"13/Jan/17 2:20 PM;smithbk;See http://gerrit.hyperledger.org/r/3921

The problem was that the CGO_LDFLAGS still referenced rocksdb.
If you want to build COP in vagrant prior to this change set being merged, do the following in vagrant:

# export CGO_LDFLAGS=""-lstdc++ -lm -lz"";;;","13/Jan/17 8:15 PM;smithbk; http://gerrit.hyperledger.org/r/3921/2 removes CGO_LDFLAGS altogether as it appears that it is not needed.;;;",,,,,,,,,,,,,,,,,,
"I want identity-related APIs defined for client, peer, and chaincode",FABC-10,13252,,Story,Closed,FABC,Fabric CA,software,denyeart,,,Medium,Done,smithbk,smithbk,smithbk,02/Nov/16 12:16 AM,27/Jul/19 11:59 PM,28/Oct/23 2:21 AM,10/May/17 10:44 PM,,,,,,,,,,,,,0,,,,,,,,ChristopherFerris,smithbk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzxdtj:",,,,Unset,,,,,,,,,,,,,,,Unset,,,,,,,,,,,ChristopherFerris,smithbk,,,,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"14/Apr/17 10:17 PM;ChristopherFerris;[~smithbk] [~Clayton Sims] I am guessing that this can be considered Done. If so, please close.;;;",,,,,,,,,,,,,,,,,,,
