Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Due Date,Votes,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Programming model - Java SDK,FGJ-1,36828,Epic,Closed,FGJ,Fabric Gateway Java,software,andrew-coleman,,,High,Done,andrew-coleman,andrew-coleman,andrew-coleman,17/Jan/19 1:07 AM,26/Jul/19 9:38 PM,28/Oct/23 2:21 AM,26/Jul/19 9:38 PM,v2.0.0,v2.0.0,,3,,,,"This epic adds the new programming model that was introduced in v1.4 for the Node SDK to the Java SDK.  All concepts should be consistent between the two languages and, where possible, classes and method signatures should be as close as possible, subject to differences in language idioms.

The concepts that underpin the new programming model together with an in-depth tutorial are described here:

[https://hyperledger-fabric.readthedocs.io/en/release-1.4/developapps/developing_applications.html]

The high-level API for the Node SDK is documented here:

[https://fabric-sdk-node.github.io/release-1.4/module-fabric-network.html]

 

A straw man proposal for the Java version of this API is summarised below:

 
{code:java}
package: org.hyperledger.fabric.network

class Gateway {
   Gateway()
   void connect(NetworkConfig config, Map<String, ?>, options)
   void disconnect()
   Network getNetwork(String networkName)
   User getCurrentIdentity()
   Map<String, ?> getOptions()
   HFClient getClient()
} 

interface Network {
   Contract getContract(String chaincodeID, String name)
}
 
interface Contract {
   Transaction createTransaction(String name)
   CompletionStage<String> submitTransaction(String name, String… args)
   CompletionStage<String> evaluateTransaction(String name, String… args)
}
 
interface Transaction {
   String getName()
   String getTransactionID()
   void setTransient(Map<String, byte[]> transientData)
   CompletionStage<String> submit(String… args)
   CompletionStage<String> evaluate(String… args)
} 
 
class FileSystemWallet implements Wallet {
   FileSystemWallet(String path)
   void import(String label, User identity)
   User export(String label)List list()
   void delete(String label)
   boolean exists(String label)
} 
 
class InMemoryWallet implements Wallet {
   InMemoryWallet()
   void import(String label, User identity)
   User export(String label)
   List list()
   void delete(String label)
   boolean exists(String label)
}  
 
package: org.hyperledger.fabric.network.api 

interface Wallet {
   void import(String label, User identity)
   User export(String label)
   List list()
   void delete(String label)
   boolean exists(String label)
}
{code}
 ",,andrew-coleman,bestbeforetoday,dcrough13,gennadyl,heatherp,mcoblenz,rickr,sstone1,,,,,,,,,,,,,,,,,,"07/Feb/19 7:06 PM;andrew-coleman;fabric-sdk-programming-model.pdf;https://jira.hyperledger.org/secure/attachment/16735/fabric-sdk-programming-model.pdf",,,,Development in progress.,(Please add high level design or a link to the design),Unset,Unset,Unset,ghx-label-3,,Programming model - Java SDK,To Do,No,,Unset,No,,,"1|i0074f:",,,,Unset,Unset,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),andrew-coleman,bestbeforetoday,dcrough13,gennadyl,heatherp,mcoblenz,rickr,sstone1,,,,,,,,,,,,,"17/Jan/19 6:14 PM;gennadyl;We can look into Spring Data implementation of java client side:
https://github.com/IBM-Blockchain/fabric-spring-sdk/
It takes little bit different approach, but both can be integrated together.  ;;;","21/Jan/19 11:31 PM;rickr;Please open a separate project both in gerrit and in Jira for this work. 
Thanks
;;;","08/Feb/19 12:41 AM;bestbeforetoday;I caught a few key comments during the playback, listed below with my personal thoughts on each for discussion (in {color:#00875a}green{color}):
 # {color:#0747a6}Not keen on providing wallets. Prefer to let application code decide how to manage their credentials rather than take on burden of maintaining our own wallet code.{color}
 ** {color:#00875a}Fair concern. As I understand it, the aim is to provide some out-of-the-box implementations to accelerate adoption while still allowing application code to manage credentials themselves if they prefer. I am not hearing any argument against this.{color}
 # {color:#0747a6}Prefer to have submitTransaction() return a Future that the caller can decide to wait for or use later. Easier for application to work in a non-blocking mode if required.{color}
 ** {color:#00875a}Fair comment, and either could work. submitTransaction() encapsulates both Channel.sendProposal() and Channel.sendTransaction(). The former is a synchronous blocking call in the existing API, so there is not consistency of sync vs. async there today. It should be relatively straightforward for client code to invoke submitTransaction() asynchronously using CompletableFuture.supplyAsync(), and this also allows the client to control thread management if they desire. So having submitTransaction() as a blocking call may provide a simpler starting point (no need to worry about futures) while also allowing greater control if needed. What do you think?{color}
 # {color:#0747a6}Want new API in a separate JAR from low-level API. Concern about overhead of additional code and dependencies for users of only the low-level API.{color}
 ** {color:#00875a}A few KB of additional class files will live in the JAR on disk, but will not be loaded unless the application code makes use of them. Any dependencies (of which there are currently none) would never live in the same JAR and would not even need to be present unless the application code made use of capabilities that required them. Having multiple JARs that need to be kept in version sync certainly makes the user's life more complex. I do not understand this concern.{color};;;",,,,,,,,,,,,,
"As an application developer, I want to submit a transaction to a fabric network using a single API method call",FGJ-2,37797,Story,Closed,FGJ,Fabric Gateway Java,software,andrew-coleman,,,High,Done,andrew-coleman,andrew-coleman,andrew-coleman,20/Feb/19 12:53 AM,13/Mar/19 5:39 PM,28/Oct/23 2:21 AM,13/Mar/19 1:24 AM,v2.0.0,v2.0.0,,0,,,,"* create package org.hyperledger.fabric.network
 * unit test infrastructure; coverage 100%
 * Gateway, Network, Contract,  Transaction API classes
 * use default commit event notifications
 * implementation of in-memory wallet
 * implementation of filesystem wallet
 * integration test",,andrew-coleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FGJ-1,,,No,,Unset,No,,,"1|i00cfr:",,,,Unset,Unset,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),andrew-coleman,,,,,,,,,dev,main,,,,,,,,,true,"13/Mar/19 1:24 AM;andrew-coleman;https://gerrit.hyperledger.org/r/c/30037/;;;",,,,,,,,,,,,,,,
"As an application developer using the v2.0 programming model, I want a choice of commit event notification strategies",FGJ-3,37799,Story,Closed,FGJ,Fabric Gateway Java,software,andrew-coleman,,,High,Done,bestbeforetoday,andrew-coleman,andrew-coleman,20/Feb/19 12:56 AM,17/May/19 3:19 AM,28/Oct/23 2:21 AM,17/May/19 3:19 AM,v2.0.0,v2.0.0,,0,,,,"* implement a pluggable mechanism
 * implement the four strategies 
 ** MSPID_SCOPE_ALLFORTX Listen for all on your org
 ** MSPID_SCOPE_ANYFORTX - Listen for any on your org
 ** CHANNEL_SCOPE_ALLFORTX - Listen for all peers in the channel
 ** CHANNEL_SCOPE_ANYFORTX - Listen for any peers in the channel

 * unit and integration tests
 * documentation",,andrew-coleman,,,,,,,,,,,,,,,,FABJ-434,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FGJ-1,,,No,,Unset,No,,,"1|i00cg7:",,,,Unset,Unset,Fabric Sprint 1,,,,(Please add steps to reproduce),8.0,Unset,,,,,,Unset,,Unset,,(Please add usage information),andrew-coleman,,,,,,,,,dev,main,,,,,,,,,true,,,,,,,,,,,,,,,,
"As an application developer using the v2.0 programming model, I want clear samples for the API",FGJ-4,37800,Story,Closed,FGJ,Fabric Gateway Java,software,andrew-coleman,,,High,Done,andrew-coleman,andrew-coleman,andrew-coleman,20/Feb/19 12:58 AM,31/Jul/19 5:24 PM,28/Oct/23 2:21 AM,26/Jul/19 12:10 AM,v2.0.0,v2.0.0,,0,,,,"Implementation of fabcar sample.

Implementation of the Commercial Paper sample",,andrew-coleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FGJ-1,,,No,,Unset,No,,,"1|i00cgf:",,,,Unset,Unset,,,,,(Please add steps to reproduce),8.0,Unset,,,,,,Unset,,Unset,,(Please add usage information),andrew-coleman,,,,,,,,,dependabot/npm_and_yarn/asset-transfer-basic/rest-api-typescript/protobufjs-6.11.4,dependabot/npm_and_yarn/asset-transfer-basic/rest-api-typescript/tough-cookie-4.1.3,dependabot/npm_and_yarn/asset-transfer-basic/rest-api-typescript/semver-6.3.1,dependabot/npm_and_yarn/asset-transfer-basic/rest-api-typescript/grpc/grpc-js-1.8.17,dependabot/go_modules/high-throughput/application-go/google.golang.org/grpc-1.53.0,dependabot/npm_and_yarn/asset-transfer-basic/rest-api-typescript/word-wrap-1.2.4,dependabot/npm_and_yarn/asset-transfer-basic/rest-api-typescript/protobufjs-and-fabric-network-7.2.4,dependabot/go_modules/asset-transfer-basic/application-go/google.golang.org/grpc-1.53.0,,,true,"23/Jul/19 5:50 PM;andrew-coleman;fabcar sample: [https://gerrit.hyperledger.org/r/c/fabric-samples/+/32450];;;",,,,,,,,,,,,,,,
"As an application developer using the v2.0 programming model, I want to use my own plug-in event handler",FGJ-5,37802,Story,Closed,FGJ,Fabric Gateway Java,software,andrew-coleman,,,High,Done,bestbeforetoday,andrew-coleman,andrew-coleman,20/Feb/19 1:02 AM,26/Jul/19 12:28 AM,28/Oct/23 2:21 AM,26/Jul/19 12:28 AM,v2.0.0,v2.0.0,,0,,,,"Enable support for pluggable event handlers in the gateway options

Create a sample event handler plugin",,andrew-coleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FGJ-1,,,No,,Unset,No,,,"1|i00cgv:",,,,Unset,Unset,,,,,(Please add steps to reproduce),8.0,Unset,,,,,,Unset,,Unset,,(Please add usage information),andrew-coleman,,,,,,,,,dev,main,,,,,,,,,true,,,,,,,,,,,,,,,,
"As an application developer using the v2.0 programming model, I want to be able to pass in transient data to the transaction",FGJ-6,37803,Story,Closed,FGJ,Fabric Gateway Java,software,andrew-coleman,,,High,Done,andrew-coleman,andrew-coleman,andrew-coleman,20/Feb/19 1:06 AM,07/May/19 5:32 PM,28/Oct/23 2:21 AM,07/May/19 5:32 PM,v2.0.0,v2.0.0,,0,,,,"Support private data collections by adding the ability to pass transient data via the submitTransaction function.

Implement the setTransient() method in the Transaction class",,andrew-coleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FGJ-1,,,No,,Unset,No,,,"1|i00ch3:",,,,Unset,Unset,,,,,(Please add steps to reproduce),5.0,Unset,,,,,,Unset,,Unset,,(Please add usage information),andrew-coleman,,,,,,,,,dev,main,,,,,,,,,true,"03/May/19 2:45 AM;andrew-coleman;[https://gerrit.hyperledger.org/r/c/31197/];;;",,,,,,,,,,,,,,,
"As an application developer using the v2.0 programming model, I want a choice of query handler strategies",FGJ-7,37804,Story,Closed,FGJ,Fabric Gateway Java,software,andrew-coleman,,,High,Done,bestbeforetoday,andrew-coleman,andrew-coleman,20/Feb/19 1:11 AM,17/May/19 3:20 AM,28/Oct/23 2:21 AM,17/May/19 3:20 AM,v2.0.0,v2.0.0,,0,,,,Implement the pluggable query handler capability as described in https://jira.hyperledger.org/browse/FABN-1094,,andrew-coleman,,,,,,,,,,,,,,,,FABJ-434,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FGJ-1,,,No,,Unset,No,,,"1|i00chb:",,,,Unset,Unset,,,,,(Please add steps to reproduce),8.0,Unset,,,,,,Unset,,Unset,,(Please add usage information),andrew-coleman,,,,,,,,,dev,main,,,,,,,,,true,,,,,,,,,,,,,,,,
FGJ scenario test to auto-generate crypto material,FGJ-8,38425,Task,Closed,FGJ,Fabric Gateway Java,software,andrew-coleman,,,High,Done,andrew-coleman,andrew-coleman,andrew-coleman,13/Mar/19 11:52 PM,01/May/19 10:29 PM,28/Oct/23 2:21 AM,14/Mar/19 12:44 AM,v2.0.0,v2.0.0,,0,,,,Add a stage to the scenario (cucumber) test to automatically generate the crypto material before starting up fabric,,andrew-coleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FGJ-1,,,No,,Unset,No,,,"1|i00fvz:",,,,Unset,Unset,,,,,(Please add steps to reproduce),1.0,Unset,,,,,,Unset,,Unset,,(Please add usage information),andrew-coleman,,,,,,,,,dev,main,,,,,,,,,true,"14/Mar/19 12:45 AM;andrew-coleman;https://gerrit.hyperledger.org/r/c/30059/;;;",,,,,,,,,,,,,,,
Update .gitignore,FGJ-9,38433,Task,Closed,FGJ,Fabric Gateway Java,software,andrew-coleman,,,Medium,Done,,andrew-coleman,andrew-coleman,14/Mar/19 12:40 AM,14/Mar/19 12:44 AM,28/Oct/23 2:21 AM,14/Mar/19 12:44 AM,,,,0,,,,Add the auto generated crypto material to the .gitignore file,,andrew-coleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00fxr:",,,,Unset,Unset,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),andrew-coleman,,,,,,,,,dev,main,,,,,,,,,true,"14/Mar/19 12:44 AM;andrew-coleman;https://gerrit.hyperledger.org/r/c/30064/;;;",,,,,,,,,,,,,,,
Ignore IntelliJ project files,FGJ-10,38437,Task,Closed,FGJ,Fabric Gateway Java,software,andrew-coleman,,,Medium,Done,bestbeforetoday,bestbeforetoday,bestbeforetoday,14/Mar/19 2:25 AM,14/May/19 10:59 PM,28/Oct/23 2:21 AM,14/May/19 10:59 PM,,,,0,,,,"IntelliJ stores project files in a *.idea* directory, which should be git ignored.",,bestbeforetoday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00cgc:",,,,Unset,Unset,Fabric Sprint 1,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),bestbeforetoday,,,,,,,,,dev,main,,,,,,,,,true,,,,,,,,,,,,,,,,
